"Characteristic","Levels","Unvaccinated","One dose ChAdOx1","Two doses ChAdOx1","One dose BNT162b2","Two doses BNT162b2"
"Q_DIAG_FRACTURE","1","55325 (3.0%)","70545 (4.7%)","26395 (10.4%)","21569 (5.1%)","17208 (4.5%)"
"Q_DIAG_NEURO","0","1827879 (99.9%)","1477566 (99.3%)","252521 (99.4%)","423487 (99.4%)","382704 (99.6%)"
"Q_DIAG_NEURO","1","1389 (0.1%)","10974 (0.7%)","1570 (0.6%)","2744 (0.6%)","1527 (0.4%)"
"Q_DIAG_PARKINSONS","0","1828706 (100.0%)","1484707 (99.7%)","251873 (99.1%)","424677 (99.6%)","383376 (99.8%)"
"Q_DIAG_PARKINSONS","1","561 (0.0%)","3833 (0.3%)","2218 (0.9%)","1554 (0.4%)","855 (0.2%)"
"Q_DIAG_PULM_HYPER","0","1828574 (100.0%)","1484790 (99.7%)","251319 (98.9%)","425265 (99.8%)","383605 (99.8%)"
"Q_DIAG_PULM_HYPER","1","694 (0.0%)","3750 (0.3%)","2772 (1.1%)","966 (0.2%)","626 (0.2%)"
"Q_DIAG_PULM_RARE","0","1827893 (99.9%)","1477881 (99.3%)","248697 (97.9%)","422764 (99.2%)","382072 (99.4%)"
"Q_DIAG_PULM_RARE","1","1374 (0.1%)","10659 (0.7%)","5394 (2.1%)","3467 (0.8%)","2159 (0.6%)"
"Q_DIAG_PVD","0","1825906 (99.8%)","1469156 (98.7%)","244681 (96.3%)","417932 (98.1%)","380802 (99.1%)"
"Q_DIAG_PVD","1","3361 (0.2%)","19384 (1.3%)","9410 (3.7%)","8299 (1.9%)","3429 (0.9%)"
"Q_DIAG_RA_SLE","0","1825892 (99.8%)","1463806 (98.3%)","247573 (97.4%)","418524 (98.2%)","379388 (98.7%)"
"Q_DIAG_RA_SLE","1","3375 (0.2%)","24734 (1.7%)","6518 (2.6%)","7707 (1.8%)","4843 (1.3%)"
"Q_DIAG_RESP_CANCER","0","1828067 (99.9%)","1483386 (99.7%)","252005 (99.2%)","424559 (99.6%)","383466 (99.8%)"
"Q_DIAG_RESP_CANCER","1","1200 (0.1%)","5154 (0.3%)","2086 (0.8%)","1672 (0.4%)","765 (0.2%)"
"Q_DIAG_SEV_MENT_ILL","0","1668568 (91.2%)","1252747 (84.2%)","226401 (89.1%)","365505 (85.8%)","329402 (85.7%)"
"Q_DIAG_SEV_MENT_ILL","1","160699 (8.8%)","235793 (15.8%)","27690 (10.9%)","60726 (14.2%)","54829 (14.3%)"
"Q_DIAG_SICKLE_CELL","0","1828881 (100.0%)","1486921 (99.9%)","253805 (99.9%)","425884 (99.9%)","383823 (99.9%)"
"Q_DIAG_SICKLE_CELL","1","386 (0.0%)","1619 (0.1%)","286 (0.1%)","347 (0.1%)","408 (0.1%)"
"Q_DIAG_STROKE","0","1821759 (99.6%)","1437505 (96.6%)","225254 (88.7%)","405184 (95.1%)","374082 (97.4%)"
"Q_DIAG_STROKE","1","7508 (0.4%)","51035 (3.4%)","28837 (11.3%)","21047 (4.9%)","10149 (2.6%)"
"Q_DIAG_VTE","0","1821353 (99.6%)","1451183 (97.5%)","240750 (94.7%)","415669 (97.5%)","377601 (98.3%)"
"Q_DIAG_VTE","1","7915 (0.4%)","37357 (2.5%)","13341 (5.3%)","10562 (2.5%)","6630 (1.7%)"
"Q_HOME_CAT","0","1825973 (99.8%)","1485209 (99.8%)","253625 (99.8%)","425388 (99.8%)","380219 (99.0%)"
"Q_HOME_CAT","1","1023 (0.1%)","2027 (0.1%)","411 (0.2%)","656 (0.2%)","3874 (1.0%)"
"Q_HOME_CAT","2","2271 (0.1%)","1304 (0.1%)","55 (0.0%)","187 (0.0%)","138 (0.0%)"
"Q_LEARN_CAT","0","1804520 (98.6%)","1455749 (97.8%)","251696 (99.1%)","420788 (98.7%)","380445 (99.0%)"
"Q_LEARN_CAT","1","24634 (1.3%)","31755 (2.1%)","2238 (0.9%)","5230 (1.2%)","3641 (0.9%)"
"Q_LEARN_CAT","2","114 (0.0%)","1036 (0.1%)","157 (0.1%)","213 (0.0%)","145 (0.0%)"
"Q_DIAG_CKD_LEVEL","0","1821246 (99.6%)","1429491 (96.0%)","202118 (79.5%)","400379 (93.9%)","370160 (96.3%)"
"Q_DIAG_CKD_LEVEL","3","7135 (0.4%)","54583 (3.7%)","49003 (19.3%)","24560 (5.8%)","12944 (3.4%)"
"Q_DIAG_CKD_LEVEL","4","523 (0.0%)","2387 (0.2%)","1946 (0.8%)","703 (0.2%)","500 (0.1%)"
"Q_DIAG_CKD_LEVEL","5","363 (0.0%)","2079 (0.1%)","1024 (0.4%)","589 (0.1%)","627 (0.2%)"
